Princeton Tec Remix, $39.99, 83 gm 2.9 oz 0.18 lb, 100 Lumens, 73 Meters, 200 Hours, AAA
Black Diamond ReVolt Headlamp, $59.95, 97 gm 3.4 oz 0.21 lb, 110 Lumens, 70 Meters, 300 Hours, AAA
Black Diamond Cosmo Headlamp, $29.95, 90 gm 3.2 oz 0.20 lb, 70 Lumens, 40 Meters, 250 Hours, AAA
Black Diamond Spot Headlamp, $39.95, 90 gm 3.2 oz 0.20 lb, 90 Lumens, 70 Meters, 200 Hours, AAA
Black Diamond Storm Headlamp, $49.95, 110 gm 3.9 oz 0.24 lb, 100 Lumens, 70 Meters, 125 Hours, AAA
Black Diamond Icon Headlamp, $79.95, 220 gm 7.8 oz 0.49 lb, 200 Lumens, 100 Meters, 175 Hours, AA
Black Diamond Icon Polar Headlamp, $84.95, 300 gm 10.6 oz 0.66 lb, 200 Lumens, 100 Meters, 250 Hours, AA
Black Diamond Sprinter Headlamp, $69.95, 105 gm 3.7 oz 0.23 lb, 75 Lumens, 45 Meters, 42 Hours, Proprietary Rechargable
Black Diamond Gizmo Headlamp, $19.95, 58 gm 2.0 oz 0.13 lb, 35 Lumens, 15 Meters, 72 Hours, AAA
Black Diamond Wiz Headlamp, $18.95, 56 gm 2.0 oz 0.12 lb, 16 Lumens, 20 Meters, 120 Hours, AAA
Black Diamond Ion Headlamp, $19.95, 28 gm 1.0 oz 0.06 lb, 12 Lumens, 22 Meters, 15 Hours, Button Type
Black Diamond Moxie Headlamp, $29.95, 90 gm 3.2 oz 0.20 lb, 55 Lumens, 33 Meters, 250 Hours, AAA
Mammut X-Sun, $199.95, 270 gm 9.5 oz 0.60 lb, 950 Lumens, 200 Meters, 40 Hours, Lithium
Mammut X-Shot, $89.95, 150 gm 5.3 oz 0.33 lb, 200 Lumens, 125 Meters, 200 Hours, AA
Mammut T-Peak, $49.95, 72 gm 2.5 oz 0.16 lb, 90 Lumens, 60 Meters, 100 Hours, AAA
Mammut T-Trail, $34.95, 72 gm 2.5 oz 0.16 lb, 60 Lumens, 30 Meters, 80 Hours, AAA
Mammut T-Base, $24.95, 72 gm 2.5 oz 0.16 lb, 30 Lumens, 20 Meters, 80 Hours, AAA
Mammut S-Flex, $29.95, 48 gm 1.7 oz 0.11 lb, 35 Lumens, 20 Meters, 40 Hours, AA
Petzl e+Lite, $29.95, 27 gm 1.0 oz 0.06 lb, 26 Lumens, 29 Meters, 30 Hours, Button Type
Petzl Zipka 2, $34.95, 69 gm 2.4 oz 0.15 lb, 40 Lumens, 29 Meters, 120 Hours, AAA
Petzl Zipka Plus 2, $44.95, 71 gm 2.5 oz 0.16 lb, 70 Lumens, 40 Meters, 185 Hours, AAA
Petzl Tikka XP 2, $54.95, 88 gm 3.1 oz 0.19 lb, 80 Lumens, 68 Meters, 190 Hours, AAA
Petzl Tikkina 2, $19.95, 80 gm 2.8 oz 0.18 lb, 23 Lumens, 23 Meters, 190 Hours, AAA
Petzl Tikka 2, $29.95, 81 gm 2.9 oz 0.18 lb, 40 Lumens, 29 Meters, 120 Hours, AAA
Petzl Tikka Plus 2, $39.95, 83 gm 2.9 oz 0.18 lb, 70 Lumens, 40 Meters, 185 Hours, AAA
Petzl NAO, $175.00, 187 gm 6.6 oz 0.41 lb, 355 Lumens, 108 Meters, 8 Hours, Lithium
Petzl Ultra Rush, $430.00, 370 gm 13.1 oz 0.82 lb, 760 Lumens, 170 Meters, 38 Hours, Proprietary Rechargable
