Osprey Kestrel 38 (S/M), , $149.00, 1389 gm 49.0 oz 3.06 lb, 2197 cu. in.36 liters, ~1-1 lbs
Osprey Kestrel 38 (M/L), , $149.00, 1446 gm 51.0 oz 3.19 lb, 2319 cu. in.38 liters, ~1-1 lbs
Osprey Kestrel 32 (S/M), , $139.00, 1191 gm 42.0 oz 2.63 lb, 1831 cu. in.30 liters, ~30-40 lbs
Osprey Kestrel 32 (M/L), , $139.00, 1247 gm 44.0 oz 2.75 lb, 1953 cu. in.32 liters, ~30-40 lbs
Osprey Kestrel 28 (S/M), , $129.00, 1162 gm 41.0 oz 2.56 lb, 1587 cu. in.26 liters, ~25-35 lbs
Osprey Kestrel 28 (M/L), , $129.00, 1219 gm 43.0 oz 2.69 lb, 1709 cu. in.28 liters, ~25-35 lbs
Osprey Stratos 36 (Small), , $139.00, 1304 gm 46.0 oz 2.88 lb, 2075 cu. in.34 liters, ~20-35 lbs
Osprey Stratos 36 (Medium), , $139.00, 1361 gm 48.0 oz 3.00 lb, 2197 cu. in.36 liters, ~20-35 lbs
Osprey Stratos 36 (Large), , $139.00, 1417 gm 50.0 oz 3.13 lb, 2319 cu. in.38 liters, ~20-35 lbs
Osprey Stratos 34 (Small), , $129.00, 1134 gm 40.0 oz 2.50 lb, 1953 cu. in.32 liters, ~20-30 lbs
Osprey Stratos 34 (Medium), , $129.00, 1191 gm 42.0 oz 2.63 lb, 2075 cu. in.34 liters, ~20-30 lbs
Osprey Stratos 34 (Large), , $129.00, 1276 gm 45.0 oz 2.81 lb, 2197 cu. in.36 liters, ~20-30 lbs
Osprey Stratos 26 (Small), , $119.00, 1106 gm 39.0 oz 2.44 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Stratos 26 (Medium), , $119.00, 1162 gm 41.0 oz 2.56 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Stratos 26 (Large), , $119.00, 1219 gm 43.0 oz 2.69 lb, 1709 cu. in.28 liters, ~15-25 lbs
Osprey Stratos 24 (Small), , $99.00, 1077 gm 38.0 oz 2.38 lb, 1343 cu. in.22 liters, ~15-25 lbs
Osprey Stratos 24 (Medium), , $99.00, 1134 gm 40.0 oz 2.50 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Stratos 24 (Large), , $99.00, 1191 gm 42.0 oz 2.63 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Syncro 20 (S/M), Includes 3L Hydration Reservoir, $119.00, 822 gm 29.0 oz 1.81 lb, 1098 cu. in.18 liters, ~1-1 lbs
Osprey Syncro 20 (M/L), Includes 3L Hydration Reservoir, $119.00, 879 gm 31.0 oz 1.94 lb, 1220 cu. in.20 liters, ~1-1 lbs
Osprey Syncro 15 (S/M), Includes 3L Hydration Reservoir, $109.00, 737 gm 26.0 oz 1.63 lb, 854 cu. in.14 liters, ~1-1 lbs
Osprey Syncro 15 (M/L), Includes 3L Hydration Reservoir, $109.00, 765 gm 27.0 oz 1.69 lb, 915 cu. in.15 liters, ~1-1 lbs
Osprey Syncro 10 (S/M), Includes 3L Hydration Reservoir, $99.00, 680 gm 24.0 oz 1.50 lb, 549 cu. in.9 liters, ~1-1 lbs
Osprey Syncro 10 (M/L), Includes 3L Hydration Reservoir, $99.00, 737 gm 26.0 oz 1.63 lb, 610 cu. in.10 liters, ~1-1 lbs
Osprey Talon 33 (S/M), , $129.00, 822 gm 29.0 oz 1.81 lb, 1892 cu. in.31 liters, ~20-30 lbs
Osprey Talon 33 (M/L), , $129.00, 879 gm 31.0 oz 1.94 lb, 2014 cu. in.33 liters, ~20-30 lbs
Osprey Talon 22 (S/M), , $99.00, 737 gm 26.0 oz 1.63 lb, 1220 cu. in.20 liters, ~15-25 lbs
Osprey Talon 22 (M/L), , $99.00, 765 gm 27.0 oz 1.69 lb, 1343 cu. in.22 liters, ~15-25 lbs
Osprey Talon 11 (S/M), , $89.00, 624 gm 22.0 oz 1.38 lb, 549 cu. in.9 liters, ~1-1 lbs
Osprey Talon 11 (M/L), , $89.00, 652 gm 23.0 oz 1.44 lb, 671 cu. in.11 liters, ~1-1 lbs
Osprey Escapist 30 (S/M), , $129.00, 936 gm 33.0 oz 2.06 lb, 1648 cu. in.27 liters, ~1-1 lbs
Osprey Escapist 30 (M/L), , $129.00, 1021 gm 36.0 oz 2.25 lb, 1831 cu. in.30 liters, ~1-1 lbs
Osprey Escapist 20 (S/M), , $99.00, 680 gm 24.0 oz 1.50 lb, 1098 cu. in.18 liters, ~1-1 lbs
Osprey Escapist 20 (M/L), , $99.00, 737 gm 26.0 oz 1.63 lb, 1220 cu. in.20 liters, ~1-1 lbs
Osprey Exos 34 (Small), , $149.00, 907 gm 32.0 oz 2.00 lb, 1953 cu. in.32 liters, ~15-25 lbs
Osprey Exos 34 (Medium), , $149.00, 964 gm 34.0 oz 2.13 lb, 2075 cu. in.34 liters, ~15-25 lbs
Osprey Exos 34 (Large), , $149.00, 992 gm 35.0 oz 2.19 lb, 2197 cu. in.36 liters, ~15-25 lbs
Osprey Hornet 32 (S/M), , $139.00, 567 gm 20.0 oz 1.25 lb, 1831 cu. in.30 liters, ~15-25 lbs
Osprey Hornet 32 (M/L), , $139.00, 595 gm 21.0 oz 1.31 lb, 1953 cu. in.32 liters, ~15-25 lbs
Osprey Hornet 24 (S/M), , $119.00, 510 gm 18.0 oz 1.13 lb, 1343 cu. in.22 liters, ~15-25 lbs
Osprey Hornet 24 (M/L), , $119.00, 567 gm 20.0 oz 1.25 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Manta 36 (S/M), Includes 3L Hydration Reservoir, $159.00, 1077 gm 38.0 oz 2.38 lb, 2075 cu. in.34 liters, ~20-30 lbs
Osprey Manta 36 (M/L), Includes 3L Hydration Reservoir, $159.00, 1134 gm 40.0 oz 2.50 lb, 2197 cu. in.36 liters, ~20-30 lbs
Osprey Manta 28 (S/M), Includes 3L Hydration Reservoir, $149.00, 936 gm 33.0 oz 2.06 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Manta 28 (M/L), Includes 3L Hydration Reservoir, $149.00, 992 gm 35.0 oz 2.19 lb, 1709 cu. in.28 liters, ~15-25 lbs
Osprey Manta 20, Includes 3L Hydration Reservoir, $139.00, 907 gm 32.0 oz 2.00 lb, 1220 cu. in.20 liters, ~15-25 lbs
Osprey Raptor 14, , $129.00, 737 gm 26.0 oz 1.63 lb, 854 cu. in.14 liters, ~1-1 lbs
Osprey Raptor 10, , $119.00, 624 gm 22.0 oz 1.38 lb, 610 cu. in.10 liters, ~1-1 lbs
Osprey Raptor 6, , $109.00, 595 gm 21.0 oz 1.31 lb, 366 cu. in.6 liters, ~1-1 lbs
Osprey Viper 13, Includes 3L Hydration Reservoir, $109.00, 567 gm 20.0 oz 1.25 lb, 793 cu. in.13 liters, ~1-1 lbs
Osprey Viper 9, Includes 3L Hydration Reservoir, $99.00, 510 gm 18.0 oz 1.13 lb, 549 cu. in.9 liters, ~1-1 lbs
Osprey Viper 5, Includes 2L Hydration Reservoir, $89.00, 454 gm 16.0 oz 1.00 lb, 305 cu. in.5 liters, ~1-1 lbs
Arcteryx Altra 35 (Short), , $249.00, 1162 gm 41.0 oz 2.56 lb, 2135 cu. in.35 liters, ~1-1 lbs
Arcteryx Altra 35 (Regular), , $249.00, 1191 gm 42.0 oz 2.63 lb, 2257 cu. in.37 liters, ~1-1 lbs
Arcteryx Altra 35 (Tall), , $249.00, 1247 gm 44.0 oz 2.75 lb, 2379 cu. in.39 liters, ~1-1 lbs
Arcteryx Kea 37 (Short), , $239.00, 1446 gm 51.0 oz 3.19 lb, 2319 cu. in.38 liters, ~1-1 lbs
Arcteryx Kea 37 (Regular), , $239.00, 1503 gm 53.0 oz 3.31 lb, 2441 cu. in.40 liters, ~1-1 lbs
Arcteryx Kea 37 (Tall), , $239.00, 1559 gm 55.0 oz 3.44 lb, 2563 cu. in.42 liters, ~1-1 lbs
Arcteryx Aerios 7, , $99.00, 397 gm 14.0 oz 0.88 lb, 427 cu. in.7 liters, ~1-1 lbs
Arcteryx Aerios 10, , $109.00, 425 gm 15.0 oz 0.94 lb, 610 cu. in.10 liters, ~1-1 lbs
Arcteryx Sebring 18, , $119.00, 709 gm 25.0 oz 1.56 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Sebring 25, , $139.00, 737 gm 26.0 oz 1.62 lb, 1525 cu. in.25 liters, ~1-1 lbs
Arcteryx Kea 30 (Reg/Tall), , $199.00, 1361 gm 48.0 oz 3.00 lb, 1952 cu. in.32 liters, ~1-1 lbs
Arcteryx Kea 30 (Short/Reg), , $199.00, 1304 gm 46.0 oz 2.87 lb, 1836 cu. in.30 liters, ~1-1 lbs
Black Diamond Nitro Pack (S/M), , $119.95, 870 gm 30.7 oz 1.92 lb, 1220 cu. in.20 liters, ~1-1 lbs
Black Diamond Nitro Pack (M/L), , $119.95, 890 gm 31.4 oz 1.96 lb, 1342 cu. in.22 liters, ~1-1 lbs
Black Diamond Bolt Pack (S/M), , $129.95, 920 gm 32.5 oz 2.03 lb, 1342 cu. in.22 liters, ~1-1 lbs
Black Diamond Bolt Pack (M/L), , $129.95, 940 gm 33.2 oz 2.07 lb, 1464 cu. in.24 liters, ~1-1 lbs
Black Diamond Sonar Pack (S/M), , $139.95, 920 gm 32.5 oz 2.03 lb, 1465 cu. in.24 liters, ~1-1 lbs
Black Diamond Sonar Pack (M/L), , $139.95, 940 gm 33.2 oz 2.07 lb, 1587 cu. in.26 liters, ~1-1 lbs
Black Diamond Magnum Pack, , $69.95, 410 gm 14.5 oz 0.90 lb, 1,098 cu. in.18 liters, ~1-1 lbs
Black Diamond Bullet Pack, , $49.95, 380 gm 13.4 oz 0.84 lb, 976 cu. in.16 liters, ~1-1 lbs
Black Diamond Sonic (Medium), , $139.95, 1080 gm 38.1 oz 2.38 lb, 1465 cu. in.24 liters, ~1-1 lbs
Black Diamond Sonic (Large), , $139.95, 1100 gm 38.8 oz 2.43 lb, 1587 cu. in.26 liters, ~1-1 lbs
Black Diamond EXL, , $99.95, 700 gm 24.7 oz 1.54 lb, 1220 cu. in.20 liters, ~1-1 lbs
Black Diamond Blaze Pack, , $89.95, 680 gm 24.0 oz 1.50 lb, 1098 cu. in.18 liters, ~1-1 lbs
Black Diamond Flash Pack, , $59.95, 330 gm 11.6 oz 0.73 lb, 549 cu. in.9 liters, ~1-1 lbs
CamelBak Alpine Explorer, Includes 3L Hydration Reservoir, $115.00, 1179 gm 41.6 oz 2.60 lb, 1648 cu. in.27 liters, ~1-1 lbs
CamelBak Rim Runner, Includes 3L Hydration Reservoir, $100.00, 1043 gm 36.8 oz 2.30 lb, 1342 cu. in.22 liters, ~1-1 lbs
CamelBak Fourteener, Includes 3L Hydration Reservoir, $140.00, 1270 gm 44.8 oz 2.80 lb, 1404 cu. in.23 liters, ~1-1 lbs
CamelBak Cloud Walker, Includes 2L Hydration Reservoir, $80.00, 712 gm 25.1 oz 1.57 lb, 1098 cu. in.18 liters, ~1-1 lbs
CamelBak Highwire 20, Includes 3L Hydration Reservoir, $110.00, 907 gm 32.0 oz 2.00 lb, 1129 cu. in.18.5 liters, ~1-1 lbs
CamelBak Highwire 25, Includes 3L Hydration Reservoir, $125.00, 998 gm 35.2 oz 2.20 lb, 1343 cu. in.22 liters, ~1-1 lbs
CamelBak Octane XCT, Includes 3L Hydration Reservoir, $80.00, 515 gm 18.2 oz 1.14 lb, 200 cu. in.3.28 liters, ~1-1 lbs
CamelBak Octane 18x, Includes 3L Hydration Reservoir, $120.00, 694 gm 24.5 oz 1.53 lb, 1098 cu. in.18 liters, ~1-1 lbs
CamelBak Octane LR, Includes 2L Hydration Reservoir, $100.00, 577 gm 20.4 oz 1.27 lb, 335 cu. in.5.5 liters, ~1-1 lbs
CamelBak Vantage FT, Includes 3L Hydration Reservoir, $195.00, 1964 gm 69.3 oz 4.33 lb, 2013 cu. in.33 liters, ~20-35 lbs
CamelBak Octane 22 LR, Includes 3L Hydration Reservoir, $130.00, 885 gm 31.2 oz 1.95 lb, 1160 cu. in.19 liters, ~1-1 lbs
CamelBak Dart, Includes 1.5L Hydration Reservoir, $65.00, 408 gm 14.4 oz 0.90 lb, 183 cu. in.3 liters, ~1-1 lbs
Deuter Compact Air EXP 10, , $129.00, 990 gm 34.9 oz 2.18 lb, 610 cu. in.10 liters, ~1-1 lbs
Deuter Race EXP Air, Includes 3L Hydration Reservoir, $129.00, 870 gm 30.7 oz 1.92 lb, 730 cu. in.12 liters, ~1-1 lbs
Deuter AC Lite 18, , $89.00, 900 gm 31.7 oz 1.98 lb, 1100 cu. in.18 liters, ~1-1 lbs
Deuter AC Lite 22, , $99.00, 930 gm 32.8 oz 2.05 lb, 1340 cu. in.22 liters, ~1-1 lbs
Deuter Futura 26, , $129.00, 1550 gm 54.7 oz 3.42 lb, 1590 cu. in.26 liters, ~1-1 lbs
Deuter Futura 28, , $109.00, 1300 gm 45.9 oz 2.87 lb, 1710 cu. in.28 liters, ~1-1 lbs
Deuter Futura 32, , $139.00, 1600 gm 56.4 oz 3.53 lb, 1950 cu. in.32 liters, ~1-1 lbs
Deuter Futura Pro 38, , $149.00, 1640 gm 57.8 oz 3.62 lb, 2320 cu. in.38 liters, ~1-1 lbs
Deuter ACT Trail 24, , $119.00, 1200 gm 42.3 oz 2.65 lb, 1460 cu. in.24 liters, ~1-1 lbs
Deuter ACT Trail 32, , $129.00, 1320 gm 46.6 oz 2.91 lb, 1950 cu. in.32 liters, ~1-1 lbs
Deuter ACT Trail 38 EL, Extra Long for those with taller torsos., $139.00, 1380 gm 48.7 oz 3.04 lb, 2320 cu. in.38 liters, ~1-1 lbs
Deuter Speed lite 10, , $59.00, 350 gm 12.3 oz 0.77 lb, 610 cu. in.10 liters, ~1-1 lbs
Deuter Speed lite 15, , $69.00, 380 gm 13.4 oz 0.84 lb, 920 cu. in.15 liters, ~1-1 lbs
Deuter Speed lite 20, , $89.00, 530 gm 18.7 oz 1.17 lb, 1220 cu. in.20 liters, ~1-1 lbs
Eureka Stony Creek 35, , $79.99, 1361 gm 48.0 oz 3.00 lb, 2135 cu. in.35 liters, ~1-1 lbs
Eureka Panther Peak 30L, , $69.99, 1077 gm 38.0 oz 2.38 lb, 1830 cu. in.30 liters, ~1-1 lbs
Eureka Saranac 22, , $59.99, 964 gm 34.0 oz 2.13 lb, 1340 cu. in.22 liters, ~1-1 lbs
Exped Mountain Lite 20, , $139.00, 700 gm 24.7 oz 1.54 lb, 1342 cu. in.22 liters, ~1-1 lbs
Exped Mountain Lite 30, , $179.00, 1000 gm 35.3 oz 2.20 lb, 1830 cu. in.30 liters, ~1-1 lbs
Exped Torrent 30, Waterproof with roll top closure., $129.00, 890 gm 31.4 oz 1.96 lb, 1830 cu. in.30 liters, ~1-1 lbs
Exped Cloudburst 15, Waterproof with roll top closure., $59.00, 280 gm 9.9 oz 0.62 lb, 915 cu. in.15 liters, ~1-1 lbs
Exped Cloudburst 25, Waterproof with roll top closure., $69.00, 300 gm 10.6 oz 0.66 lb, 1525 cu. in.25 liters, ~1-1 lbs
Geigerrig Rig 1600, Includes Pressurized 3L Hydration Reservoir, $175.00, 1451 gm 51.2 oz 3.20 lb, 1600 cu. in.26.2 liters, ~1-1 lbs
Geigerrig Rig 1200, Includes Pressurized 3L Hydration Reservoir, $165.00, 1134 gm 40.0 oz 2.50 lb, 1200 cu. in.19.6 liters, ~1-1 lbs
Geigerrig Rig 700, Includes Pressurized 2L Hydration Reservoir, $140.00, 1202 gm 42.4 oz 2.65 lb, 700 cu. in.11.47 liters, ~1-1 lbs
Geigerrig Rig 700 Ballistic, Includes Pressurized 2L Hydration Reservoir, $145.00, 1270 gm 44.8 oz 2.80 lb, 700 cu. in.11.47 liters, ~1-1 lbs
Geigerrig Rig 500 Ballistic, Includes Pressurized 2L Hydration Reservoir, $135.00, 1179 gm 41.6 oz 2.60 lb, 500 cu. in.8.19 liters, ~1-1 lbs
