Alps Mountaineering Orizaba 3300, , $129.99, 1616 gm 57.0 oz 3.56 lb, 3300 cu. in.54 liters, ~1-1 lbs, Internal Frame
Osprey Xenith 105 (Medium), , $379.00, 2495 gm 88.0 oz 5.50 lb, 6407 cu. in.105 liters, ~60-80 lbs, Internal Frame
Osprey Xenith 105 (Large), , $379.00, 2608 gm 92.0 oz 5.75 lb, 6652 cu. in.109 liters, ~60-80 lbs, Internal Frame
Osprey Xenith 105 (Extra Large), , $379.00, 2693 gm 95.0 oz 5.94 lb, 6896 cu. in.113 liters, ~60-80 lbs, Internal Frame
Osprey Xenith 88 (Medium), , $349.00, 2381 gm 84.0 oz 5.25 lb, 5370 cu. in.88 liters, ~50-70 lbs, Internal Frame
Osprey Xenith 88 (Large), , $349.00, 2495 gm 88.0 oz 5.50 lb, 5614 cu. in.92 liters, ~50-70 lbs, Internal Frame
Osprey Xenith 88 (Extra Large), , $349.00, 2580 gm 91.0 oz 5.69 lb, 5858 cu. in.96 liters, ~50-70 lbs, Internal Frame
Osprey Xenith 75 (Medium), , $319.00, 2325 gm 82.0 oz 5.13 lb, 4577 cu. in.75 liters, ~50-70 lbs, Internal Frame
Osprey Xenith 75 (Large), , $319.00, 2438 gm 86.0 oz 5.38 lb, 4821 cu. in.79 liters, ~50-70 lbs, Internal Frame
Osprey Xenith 75 (Extra Large), , $319.00, 2523 gm 89.0 oz 5.56 lb, 5065 cu. in.83 liters, ~50-70 lbs, Internal Frame
Osprey Aether 85 (Small), , $299.00, 2070 gm 73.0 oz 4.56 lb, 5004 cu. in.82 liters, ~50-65 lbs, Internal Frame
Osprey Aether 85 (Medium), , $299.00, 2183 gm 77.0 oz 4.81 lb, 5187 cu. in.85 liters, ~50-65 lbs, Internal Frame
Osprey Aether 85 (Large), , $299.00, 2268 gm 80.0 oz 5.00 lb, 5370 cu. in.88 liters, ~50-65 lbs, Internal Frame
Osprey Aether 85 (Extra Large), , $299.00, 2381 gm 84.0 oz 5.25 lb, 5553 cu. in.91 liters, ~50-65 lbs, Internal Frame
Osprey Aether 70 (Small), , $279.00, 2041 gm 72.0 oz 4.50 lb, 4089 cu. in.67 liters, ~50-65 lbs, Internal Frame
Osprey Aether 70 (Medium), , $279.00, 2155 gm 76.0 oz 4.75 lb, 4272 cu. in.70 liters, ~50-65 lbs, Internal Frame
Osprey Aether 70 (Large), , $279.00, 2240 gm 79.0 oz 4.94 lb, 4455 cu. in.73 liters, ~50-65 lbs, Internal Frame
Osprey Aether 70 (Extra Large), , $279.00, 2353 gm 83.0 oz 5.19 lb, 4638 cu. in.76 liters, ~50-65 lbs, Internal Frame
Osprey Aether 60 (Small), , $249.00, 2013 gm 71.0 oz 4.44 lb, 3478 cu. in.57 liters, ~50-65 lbs, Internal Frame
Osprey Aether 60 (Medium), , $249.00, 2126 gm 75.0 oz 4.69 lb, 3661 cu. in.60 liters, ~50-65 lbs, Internal Frame
Osprey Aether 60 (Large), , $249.00, 2211 gm 78.0 oz 4.88 lb, 3844 cu. in.63 liters, ~50-65 lbs, Internal Frame
Osprey Volt 75, , $199.00, 1701 gm 60.0 oz 3.75 lb, 4577 cu. in.75 liters, ~40-55 lbs, Internal Frame
Osprey Volt 60, , $179.00, 1616 gm 57.0 oz 3.56 lb, 3661 cu. in.60 liters, ~40-55 lbs, Internal Frame
Osprey Kestrel 48 (S/M), , $169.00, 1503 gm 53.0 oz 3.31 lb, 2807 cu. in.46 liters, ~35-50 lbs, Internal Frame
Osprey Kestrel 48 (M/L), , $169.00, 1588 gm 56.0 oz 3.50 lb, 2929 cu. in.48 liters, ~35-50 lbs, Internal Frame
Osprey Atmos 65 (Small), , $239.00, 1531 gm 54.0 oz 3.38 lb, 3783 cu. in.62 liters, ~40-55 lbs, Internal Frame
Osprey Atmos 65 (Medium), , $239.00, 1616 gm 57.0 oz 3.56 lb, 3967 cu. in.65 liters, ~40-55 lbs, Internal Frame
Osprey Atmos 65 (Large), , $239.00, 1644 gm 58.0 oz 3.63 lb, 4150 cu. in.68 liters, ~40-55 lbs, Internal Frame
Osprey Atmos 50 (Small), , $199.00, 1389 gm 49.0 oz 3.06 lb, 2868 cu. in.47 liters, ~35-50 lbs, Internal Frame
Osprey Atmos 50 (Medium), , $199.00, 1417 gm 50.0 oz 3.13 lb, 3051 cu. in.50 liters, ~35-50 lbs, Internal Frame
Osprey Atmos 50 (Large), , $199.00, 1474 gm 52.0 oz 3.25 lb, 3234 cu. in.53 liters, ~35-50 lbs, Internal Frame
Osprey Talon 44 (S/M), , $149.00, 992 gm 35.0 oz 2.19 lb, 2563 cu. in.42 liters, ~25-40 lbs, Internal Frame
Osprey Talon 44 (M/L), , $149.00, 1106 gm 39.0 oz 2.44 lb, 2685 cu. in.44 liters, ~25-40 lbs, Internal Frame
Osprey Exos 58 (Small), , $219.00, 1106 gm 39.0 oz 2.44 lb, 3356 cu. in.55 liters, ~25-40 lbs, Internal Frame
Osprey Exos 58 (Medium), , $219.00, 1134 gm 40.0 oz 2.50 lb, 3539 cu. in.58 liters, ~25-40 lbs, Internal Frame
Osprey Exos 58 (Large), , $219.00, 1191 gm 42.0 oz 2.63 lb, 3722 cu. in.61 liters, ~25-40 lbs, Internal Frame
Osprey Exos 46 (Small), , $179.00, 1021 gm 36.0 oz 2.25 lb, 2624 cu. in.43 liters, ~20-30 lbs, Internal Frame
Osprey Exos 46 (Medium), , $179.00, 1049 gm 37.0 oz 2.31 lb, 2807 cu. in.46 liters, ~20-30 lbs, Internal Frame
Osprey Exos 46 (Large), , $179.00, 1106 gm 39.0 oz 2.44 lb, 2990 cu. in.49 liters, ~20-30 lbs, Internal Frame
Osprey Hornet 46 (Small), , $159.00, 680 gm 24.0 oz 1.50 lb, 2685 cu. in.44 liters, ~20-30 lbs, Internal Frame
Osprey Hornet 46 (Medium), , $159.00, 737 gm 26.0 oz 1.63 lb, 2807 cu. in.46 liters, ~20-30 lbs, Internal Frame
Osprey Hornet 46 (Large), , $159.00, 794 gm 28.0 oz 1.75 lb, 2929 cu. in.48 liters, ~20-30 lbs, Internal Frame
Alps Mountaineering Solitude, , $119.99, 1191 gm 42.0 oz 2.63 lb, 2450 cu. in.40 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Solitude Plus, , $129.99, 1701 gm 60.0 oz 3.75 lb, 3100 cu. in.50 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Synergy LT, , $119.99, 1446 gm 51.0 oz 3.19 lb, 2800 cu. in.45 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Orizaba 3900, , $139.99, 1701 gm 60.0 oz 3.75 lb, 3900 cu. in.64 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Orizaba 4500, , $149.99, 1758 gm 62.0 oz 3.88 lb, 4500 cu. in.74 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Cascade 4200, , $169.99, 2438 gm 86.0 oz 5.38 lb, 4200 cu. in.69 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Cascade 5200, , $189.99, 2495 gm 88.0 oz 5.50 lb, 5200 cu. in.85 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Red Tail, , $179.99, 2722 gm 96.0 oz 6.00 lb, 4900 cu. in.80 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Wasatch 3900, , $149.99, 1588 gm 56.0 oz 3.50 lb, 3900 cu. in.64 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Caldera 4500, , $189.99, 2693 gm 95.0 oz 5.94 lb, 4500 cu. in.74 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Caldera 5500, , $199.99, 2750 gm 97.0 oz 6.06 lb, 5500 cu. in.90 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Zion, , $159.99, 2240 gm 79.0 oz 4.94 lb, 3900 cu. in.64 liters, ~1-1 lbs, External Frame
Alps Mountaineering Bryce, , $149.99, 2183 gm 77.0 oz 4.81 lb, 3600 cu. in.59 liters, ~1-1 lbs, External Frame
Arcteryx Kea 45 (Short), , $259.00, 1644 gm 58.0 oz 3.63 lb, 2807 cu. in.46 liters, ~1-1 lbs, Internal Frame
