Alps Mountaineering Crescent Lake 0° F (Regular), $89.99, 2381 gm 84.0 oz 5.25 lb, 0 F-17.7 C, Synth, 64", , 18" x 11", Regular: Fits  up to 6'
Alps Mountaineering Crescent Lake 0° F (Long), $99.99, 2778 gm 98.0 oz 6.13 lb, 0 F-17.7 C, Synth, 68", , 18" x 12", Long: Fits  up to 6'6"
Alps Mountaineering Crescent Lake 0° F (Wide), $99.99, 2778 gm 98.0 oz 6.13 lb, 0 F-17.7 C, Synth, 72", , ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Crescent Lake -20° F (Regular), $99.99, 3062 gm 108.0 oz 6.75 lb, -20 F-28.8 C, Synth, 64", , 18" x 12.5", Regular: Fits  up to 6'
Alps Mountaineering Crescent Lake -20° F (Long), $109.99, 3572 gm 126.0 oz 7.88 lb, -20 F-28.8 C, Synth, 68", , 18" x 13.25", Long: Fits  up to 6'6"
Alps Mountaineering Crescent Lake -20° F (Wide), $109.99, 3572 gm 126.0 oz 7.88 lb, -20 F-28.8 C, Synth, 72", , ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Desert Pine 0° F (Regular), $109.99, 2381 gm 84.0 oz 5.25 lb, 0 F-17.7 C, Synth, 64", , 18" x 12", Regular: Fits  up to 6'
Alps Mountaineering Desert Pine 0° F (Long), $119.99, 2778 gm 98.0 oz 6.13 lb, 0 F-17.7 C, Synth, 68", , 18" x 12", Long: Fits  up to 6'6"
Alps Mountaineering Desert Pine 0° F (Wide), $119.99, 2778 gm 98.0 oz 6.13 lb, 0 F-17.7 C, Synth, 72", , ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Desert Pine -20° F (Regular), $119.99, 3062 gm 108.0 oz 6.75 lb, -20 F-28.8 C, Synth, 64", , 18" x 12", Regular: Fits  up to 6'
Alps Mountaineering Desert Pine -20° F (Long), $139.99, 3572 gm 126.0 oz 7.88 lb, -20 F-28.8 C, Synth, 68", , 18" x 13", Long: Fits  up to 6'6"
Alps Mountaineering Desert Pine -20° F (Wide), $139.99, 3572 gm 126.0 oz 7.88 lb, -20 F-28.8 C, Synth, 72", , ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Diamondback 0° F (Regular), $159.99, 2041 gm 72.0 oz 4.50 lb, 0 F17.7 C, Synth, 62", , ?" x ?", Regular: Fits  up to 6'
Big Agnes McAlpin SL (Regular), $359.95, 1332 gm 47.0 oz 2.94 lb, 5 F-15 C, 700 Down, 60", , 9.5" x 9", Regular: Fits up to 6'
Big Agnes McAlpin SL (Long), $379.95, 1417 gm 50.0 oz 3.13 lb, 5 F-15 C, 700 Down, 62", , 10" x 9", Long: Fits  up to 6'6"
Big Agnes Crosho SL (Regular), $499.95, 1758 gm 62.0 oz 3.88 lb, -20 F-28.8 C, 700 Down, 60", , 12" x 10", Regular: Fits  up to 6'
Big Agnes Crosho SL (Long), $539.95, 1843 gm 65.0 oz 4.06 lb, -20 F-28.8 C, 700 Down, 62", , 13" x 11", Long: Fits  up to 6'6"
Big Agnes Beeler Gulch SL (Regular), $229.95, 1843 gm 65.0 oz 4.06 lb, 5 F-15 C, Synth, 60", , 12" x 9.5", Long: Fits  up to 6'6"
Big Agnes Beeler Gulch SL (Long), $249.95, 2098 gm 74.0 oz 4.63 lb, 5 F-15 C, Synth, 62", , 14.5" x 9.5", Long: Fits  up to 6'6"
Big Agnes Storm King (Regular), $299.95, 1474 gm 52.0 oz 3.25 lb, 0 F-17.7 C, 650 Down, 70", , 9" x 8", Regular: Fits up to 5'10"
Big Agnes Storm King (Long), $319.95, 1588 gm 56.0 oz 3.50 lb, 0 F-17.7 C, 650 Down, 73", , 10" x 8", Long: Fits up to 6'6"
Big Agnes Farwell (Regular), $189.95, 1729 gm 61.0 oz 3.81 lb, 0 F-17.7 C, Synth, 70", , 12" x 10", Regular: Fits up to 5'10"
Big Agnes Farwell (Long), $199.95, 1899 gm 67.0 oz 4.19 lb, 0 F-17.7 C, Synth, 73", , 13" x 10", Long: Fits up to 6'6"
Big Agnes Blackburn SL (Regular), $489.95, 1276 gm 45.0 oz 2.81 lb, 0 F-17.7 C, 800 Down, 70", , 9.5" x 9", Regular: Fits up to 5'10"
Big Agnes Blackburn SL (Long), $509.95, 1361 gm 48.0 oz 3.00 lb, 0 F-17.7 C, 800 Down, 73", , 10" x 9", Long: Fits up to 6'6"
Big Agnes Pomer Hoit SL (Regular), $499.95, 1304 gm 46.0 oz 2.88 lb, 0 F-17.7 C, 800 Down, 67.5", , 8" x 7", Regular: Fits up to 5'10"
Big Agnes Pomer Hoit SL (Long), $519.95, 1417 gm 50.0 oz 3.13 lb, 0 F-17.7 C, 800 Down, 72.5", , 8" x 8", Long: Fits up to 6'6"
Big Agnes Hahns Peak SL (Regular), $599.95, 1531 gm 54.0 oz 3.38 lb, -20 F-28.8 C, 800 Down, 67.5", , 9" x 8", Regular: Fits up to 5'10"
Big Agnes Hahns Peak SL (Long), $619.95, 1644 gm 58.0 oz 3.63 lb, -20 F-28.8 C, 800 Down, 72.5", , 10" x 8", Long: Fits up to 6'6"
Big Agnes Hogan Park (Long), $329.95, 1843 gm 65.0 oz 4.06 lb, 0 F-17.7 C, 600 Down, 80.5", , 11" x 9", Long: Fits up to 6'6"
Big Agnes Whiskey Park (Long), $179.95, 2863 gm 101.0 oz 6.31 lb, 0 F-17.7 C, Synth, 80.5", , 12" x 11", Long: Fits up to 6'6"
Big Agnes Elk Park (Long), $199.95, 3062 gm 108.0 oz 6.75 lb, -20 F-28.8 C, Synth, 80.5", , 14" x 12", Long: Fits up to 6'6"
Eureka Dual Temp 10/30° (Regular), $129.90, 1786 gm 63.0 oz 3.94 lb, 10 F-12.2 C, Synth, 66", , 19" x 9.5", Regular: Fits up to 6'
Eureka Dual Temp 10/30° (Long), $139.90, 1928 gm 68.0 oz 4.25 lb, 10 F-12.2 C, Synth, 66", , 19" x 10", Long: Fits up to 6'6"
Eureka Kaycee 0° (Regular), $159.90, 2098 gm 74.0 oz 4.63 lb, 0 F-17.7 C, Synth, 64", , 19.5" x 10.5", Regular: Fits up to 6'
Eureka Kaycee 0° (Long), $169.90, 2353 gm 83.0 oz 5.19 lb, 0 F-17.7 C, Synth, 68", , 19.5" x 11", Long: Fits up to 6'6"
Eureka Wild Basin 0° (Regular), $94.99, 2183 gm 77.0 oz 4.81 lb, 0 F-17.7 C, Synth, 64", , 19" x 10.5", Regular: Fits up to 6'
Eureka Wild Basin 0° (Long), $104.99, 2466 gm 87.0 oz 5.44 lb, 0 F-17.7 C, Synth, 64", , 19" x 11.5", Long: Fits up to 6'6"
Exped Waterbloc 1000 (Regular), $689.95, 1910 gm 67.4 oz 4.21 lb, -5 F-20.5 C, 700 Down, 62", , 16" x 9", Regular: Fits up to 6'
Exped Waterbloc 1000 (Long), $738.95, 1990 gm 70.2 oz 4.39 lb, -5 F-20.5 C, 700 Down, 62", , 17" x 9", Long: Fits up to 6'6"
Exped Waterbloc 1200 (Regular), $788.95, 2280 gm 80.4 oz 5.03 lb, -20 F-28.8 C, 750 Down, 62", , 18" x 8", Regular: Fits up to 6'
Exped Waterbloc 1200 (Long), $848.95, 2340 gm 82.5 oz 5.16 lb, -20 F-28.8 C, 750 Down, 62", , 19" x 8", Long: Fits up to 6'6"
GoLite Z -10 (Regular), $399.99, 1361 gm 48.0 oz 3.00 lb, -10 F-23.3 C, 850 Down, 60", , ?" x ?", Regular: Fits up to 6'
GoLite Z -10 (Long), $399.99, 1446 gm 51.0 oz 3.19 lb, -10 F-23.3 C, 850 Down, 62", , ?" x ?", Long: Fits up to 6'6"
GoLite Adventure 0 (Regular), $249.99, 1446 gm 51.0 oz 3.19 lb, 0 F-17 C, 650 Down, 62", , ?" x ?", Regular: Fits up to 6'
GoLite Adventure 0 (Long), $249.99, 1503 gm 53.0 oz 3.31 lb, 0 F-17 C, 650 Down, 64", , ?" x ?", Long: Fits up to 6'6"
GoLite Z10 (Regular), $349.99, 992 gm 35.0 oz 2.19 lb, 10 F-12 C, 850 Down, 60", , ?" x ?", Regular: Fits up to 6'
GoLite Z10 (Long), $349.99, 1077 gm 38.0 oz 2.38 lb, 10 F-12 C, 850 Down, 62", , ?" x ?", Long: Fits up to 6'6"
Kelty Ignite DriDown 0 (Regular), $259.95, 1616 gm 57.0 oz 3.56 lb, 0 F-18 C, 600 Down, 62", , 15" x 10", Regular: Fits up to 6'
Kelty Ignite DriDown 0 (Long), $269.95, 1644 gm 58.0 oz 3.63 lb, 0 F-18 C, 600 Down, 64", , 15" x 10", Long: Fits up to 6'6"
Kelty Coromell Down 0 (Long), $239.95, 2041 gm 72.0 oz 4.50 lb, 0 F-18 C, 550 Down, 72", , 18" x 10", Long: Fits up to 6'6"
Kelty Coromell Down 0 (Regular), $229.95, 1956 gm 69.0 oz 4.31 lb, 0 F-18 C, 550 Down, 66", , 16" x 10", Regular: Fits up to 6'
