Western Mountaineering MegaLite (Regular), $450.00, 680 gm 24.0 oz 1.50 lb, 30 F-1.1 C, 850 Down, 64", 13" x 7", Regular: Fits up to 6'
Alps Mountaineering Crescent Lake 20° F (Regular), $79.99, 1701 gm 60.0 oz 3.75 lb, 20 F-6.6 C, Synth, 64", 18" x 9", Regular: Fits  up to 6'
Alps Mountaineering Crescent Lake 20° F (Long), $89.99, 1984 gm 70.0 oz 4.38 lb, 20 F-6.6 C, Synth, 68", 18" x 10", Long: Fits  up to 6'6"
Alps Mountaineering Crescent Lake 20° F (Wide), $89.99, 1984 gm 70.0 oz 4.38 lb, 20 F-6.6 C, Synth, 72", ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Desert Pine 20° F (Short), $89.99, 1531 gm 54.0 oz 3.38 lb, 20 F-6.6 C, Synth, 60", 16" x 8", Short: Fits  up to 5'4"
Alps Mountaineering Desert Pine 20° F (Regular), $99.99, 1701 gm 60.0 oz 3.75 lb, 20 F-6.6 C, Synth, 64", 18" x 9", Regular: Fits  up to 6'
Alps Mountaineering Desert Pine 20° F (Long), $109.99, 1984 gm 70.0 oz 4.38 lb, 20 F-6.6 C, Synth, 68", 18" x 11", Long: Fits  up to 6'6"
Alps Mountaineering Desert Pine 20° F (Wide), $109.99, 1984 gm 70.0 oz 4.38 lb, 20 F-6.6 C, Synth, 72", ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Blue Springs 35° F (Regular), $89.99, 1219 gm 43.0 oz 2.69 lb, 35 F1.66 C, Synth, 64", ?" x ?", Regular: Fits  up to 6'
Alps Mountaineering Blue Springs 35° F (Long), $99.99, 1361 gm 48.0 oz 3.00 lb, 35 F1.66 C, Synth, 68", ?" x ?", Long: Fits  up to 6'6"
Alps Mountaineering Blue Springs 35° F (Wide), $99.99, 1417 gm 50.0 oz 3.13 lb, 35 F1.66 C, Synth, 72", ?" x ?", Long: Fits  up to 6'4"
Alps Mountaineering Blue Springs 20° F (Regular), $99.99, 1503 gm 53.0 oz 3.31 lb, 20 F-6.6 C, Synth, 64", ?" x ?", Regular: Fits  up to 6'
Alps Mountaineering Blue Springs 20° F (Long), $109.99, 1673 gm 59.0 oz 3.69 lb, 20 F-6.6 C, Synth, 68", ?" x ?", Long: Fits  up to 6'6"
Alps Mountaineering Blue Springs 20° F (Wide), $109.99, 1786 gm 63.0 oz 3.94 lb, 20 F-6.6 C, Synth, 72", ?" x ?", Long: Fits  up to 6'4"
