Alps Mountaineering Lightweight Air Pad - Regular, $59.99, 1021 gm36.0 oz2.25 lb, R 2.5, 72" L20" W1.5" D, 21" x 4.5", Self Inflating Foam
Alps Mountaineering Lightweight Air Pad - Short, $49.99, 709 gm25.0 oz1.56 lb, R 2.5, 48" L20" W1.5" D, 21" x 4", Self Inflating Foam
Alps Mountaineering Lightweight Air Pad - Large, $89.99, 1758 gm62.0 oz3.88 lb, R 3, 77" L25" W2" D, 26" x 6.5", Self Inflating Foam
Alps Mountaineering Lightweight Air Pad - XL, $119.99, 2863 gm101.0 oz6.31 lb, R 4, 77" L30" W3" D, 31" x 8", Self Inflating Foam
Alps Mountaineering Ultra-Light Air Pad - Regular, $79.99, 680 gm24.0 oz1.50 lb, R 2.5, 72" L20" W1.5" D, 20" x 5", Self Inflating Foam
Alps Mountaineering Ultra-Light Air Pad - Long, $89.99, 964 gm34.0 oz2.13 lb, R 2.5, 77" L25" W1.5" D, 25" x 5.5", Self Inflating Foam
Alps Mountaineering Comfort Air Pad - Regular, $74.99, 1191 gm42.0 oz2.63 lb, R 2.5, 72" L20" W1.5" D, 21" x 4.5", Self Inflating Foam
Alps Mountaineering Comfort Air Pad - Long, $99.99, 1843 gm65.0 oz4.06 lb, R 3, 77" L25" W2" D, 26" x 6.5", Self Inflating Foam
Alps Mountaineering Comfort Air Pad - XL, $149.99, 2920 gm103.0 oz6.44 lb, R 4, 77" L30" W3" D, 31" x 8", Self Inflating Foam
Alps Mountaineering Comfort Air Pad - XXL, $189.99, 3827 gm135.0 oz8.44 lb, R 4, 77" L30" W4" D, 31" x 11", Self Inflating Foam
Alps Mountaineering Foam Mat - Regular 750, $34.99, 595 gm21.0 oz1.31 lb, R 2.5, 72" L20" W0.75" D, 20" x 10", Closed Cell Foam
Alps Mountaineering Dual Foam Mat - Large, $49.99, 737 gm26.0 oz1.63 lb, R 3, 77" L25" W1.25" D, 25" x 15", Closed Cell Foam
Big Agnes Clearview Air Pad - Regular, $49.95, 425 gm15.0 oz0.94 lb, R 1, 72" L20" W2.5" D, 10" x 2.5", Inflatable
Big Agnes Clearview Air Pad - Small, $47.95, 397 gm14.0 oz0.88 lb, R 1, 66" L20" W2.5" D, 10" x 2", Inflatable
Big Agnes Clearview Air Pad - Long, $54.95, 482 gm17.0 oz1.06 lb, R 1, 78" L20" W2.5" D, 10" x 3", Inflatable
Big Agnes Clearview Air Pad - Long Wide, $89.95, 567 gm20.0 oz1.25 lb, R 1, 78" L25" W2.5" D, 10" x 3", Inflatable
Big Agnes Clearview Air Pad - Small - Mummy, $47.95, 312 gm11.0 oz0.69 lb, R 1, 60" L20" W2.5" D, 10" x 2", Inflatable
Big Agnes Clearview Air Pad - Regular - Mummy, $49.95, 397 gm14.0 oz0.88 lb, R 1, 72" L20" W2.5" D, 10" x 2.5", Inflatable
Big Agnes Clearview Air Pad - Long - Mummy, $54.95, 425 gm15.0 oz0.94 lb, R 1, 78" L20" W2.5" D, 10" x 3", Inflatable
Big Agnes Air Core - Short, $49.95, 454 gm16.0 oz1.00 lb, R 1, 48" L20" W2.5" D, 7" x 4", Inflatable
Big Agnes Air Core - Small, $57.95, 539 gm19.0 oz1.19 lb, R 1, 66" L20" W2.5" D, 8" x 4", Inflatable
Big Agnes Air Core - Regular, $59.95, 624 gm22.0 oz1.38 lb, R 1, 72" L20" W2.5" D, 8" x 4", Inflatable
Big Agnes Air Core - Long, $69.95, 709 gm25.0 oz1.56 lb, R 1, 78" L20" W2.5" D, 8" x 4.5", Inflatable
Big Agnes Air Core - Long Wide, $99.95, 936 gm33.0 oz2.06 lb, R 1, 78" L25" W2.5" D, 9" x 5.5", Inflatable
Big Agnes Air Core - Regular - Mummy, $59.95, 539 gm19.0 oz1.19 lb, R 1, 72" L20" W2.5" D, 8" x 4", Inflatable
Big Agnes Air Core - Long - Mummy, $69.95, 624 gm22.0 oz1.38 lb, R 1, 78" L20" W2.5" D, 8" x 4.5", Inflatable
Big Agnes Insulated Air Core - Short, $79.95, 454 gm16.0 oz1.00 lb, R 4.1, 48" L20" W2.5" D, 8" x 4", Inflatable
Big Agnes Insulated Air Core - Small, $84.95, 624 gm22.0 oz1.38 lb, R 4.1, 66" L20" W2.5" D, 9" x 5", Inflatable
Big Agnes Insulated Air Core - Regular, $89.95, 680 gm24.0 oz1.50 lb, R 4.1, 72" L20" W2.5" D, 9" x 5", Inflatable
Big Agnes Insulated Air Core - Long, $99.95, 765 gm27.0 oz1.69 lb, R 4.1, 78" L20" W2.5" D, 9" x 5.5", Inflatable
Big Agnes Insulated Air Core - Long Wide, $129.95, 1021 gm36.0 oz2.25 lb, R 4.1, 78" L25" W2.5" D, 10" x 6", Inflatable
Big Agnes Insulated Air Core - Small - Mummy, $84.95, 510 gm18.0 oz1.13 lb, R 4.1, 60" L20" W2.5" D, 9" x 4.5", Inflatable
Big Agnes Insulated Air Core - Regular - Mummy, $89.95, 595 gm21.0 oz1.31 lb, R 4.1, 72" L20" W2.5" D, 9" x 5", Inflatable
Big Agnes Insulated Air Core - Long - Mummy, $84.95, 652 gm23.0 oz1.44 lb, R 4.1, 78" L20" W2.5" D, 9" x 5.5", Inflatable
Big Agnes Q-Core - Small, $119.95, 709 gm25.0 oz1.56 lb, R 5, 66" L20" W3.5" D, 9.5" x 5", Inflatable
Big Agnes Q-Core - Regular, $139.95, 765 gm27.0 oz1.69 lb, R 5, 72" L20" W3.5" D, 9.5" x 5", Inflatable
Big Agnes Q-Core - Long, $149.95, 822 gm29.0 oz1.81 lb, R 5, 78" L20" W3.5" D, 9.5" x 6", Inflatable
Big Agnes Q-Core - Long Wide, $179.95, 1021 gm36.0 oz2.25 lb, R 5, 78" L25" W3.5" D, 11" x 6", Inflatable
Big Agnes Dual Core - Small, $109.95, 737 gm26.0 oz1.63 lb, R 5, 66" L20" W2.5" D, 13" x 5.5", Inflatable
Big Agnes Dual Core - Regular, $119.95, 850 gm30.0 oz1.88 lb, R 5, 72" L20" W2.5" D, 13" x 6", Inflatable
Big Agnes Dual Core - Long, $129.95, 964 gm34.0 oz2.13 lb, R 5, 78" L20" W2.5" D, 13" x 6.5", Inflatable
Big Agnes Dual Core - Long Wide, $179.95, 1219 gm43.0 oz2.69 lb, R 5, 78" L25" W2.5" D, 15.5" x 7", Inflatable
Big Agnes Dual Core - Regular - Mummy, $119.95, 822 gm29.0 oz1.81 lb, R 5, 72" L20" W2.5" D, 13" x 6", Inflatable
Big Agnes Dual Core - Long - Mummy, $129.95, 879 gm31.0 oz1.94 lb, R 5, 78" L20" W2.5" D, 13" x 6.5", Inflatable
Big Agnes Two Track - Regular - 1.5" thick, $84.95, 964 gm34.0 oz2.13 lb, R 4.5, 72" L20" W1.5" D, 21" x 4.5", Self Inflating Foam
Big Agnes Two Track - Long - 1.5" thick, $94.95, 1106 gm39.0 oz2.44 lb, R 4.5, 78" L20" W1.5" D, 21" x 5", Self Inflating Foam
Big Agnes Two Track - Long Wide - 1.5" thick, $129.95, 1304 gm46.0 oz2.88 lb, R 4.5, 78" L25" W1.5" D, 25" x 5", Self Inflating Foam
Big Agnes Two Track - Regular - 2" Thick, $89.95, 1191 gm42.0 oz2.63 lb, R 6.5, 72" L20" W2" D, 21" x 5", Self Inflating Foam
Big Agnes Two Track - Long - 2" Thick, $89.95, 1304 gm46.0 oz2.88 lb, R 6.5, 78" L20" W2" D, 21" x 5.5", Self Inflating Foam
