Jetboil SUMO, Includes 1.8 li. cup, $129.95, 454 gm16.0 oz1.00 lb, Isobutane Canister, Yes, 4+ People
Jetboil SUMO Titanium, Includes 1.8 li. cup. For water boiling only., $189.95, 340 gm12.0 oz0.75 lb, Isobutane Canister, Yes, 4+ People
Jetboil Helios, Includes 2 li. pot, $149.95, 794 gm28.0 oz1.75 lb, Isobutane Canister, Yes, 4+ People
Jetboil FLASH Cooking System, Includes 1 li. cup, $99.95, 397 gm14.0 oz0.88 lb, Isobutane Canister, Yes, 1-2 People
Jetboil Zip Cooking System, Includes .8 li. cup, $74.95, 340 gm12.0 oz0.75 lb, Isobutane Canister, Yes, 1-2 People
Jetboil Sol Advanced Cooking System, Includes .8 li. cup, $119.95, 298 gm10.5 oz0.66 lb, Isobutane Canister, Yes, 1-2 People
Jetboil Sol Ti Premium Cooking System, Includes .8 li. cup. For water boiling only., $149.95, 241 gm8.5 oz0.53 lb, Isobutane Canister, Yes, 1-2 People
MSR WindPro II, Uses canister OR liquid fuel, $99.95, 187 gm6.6 oz0.41 lb, Isobutane Canister, Yes, 4+ People
MSR Dragonfly, Great for large groups (holds pots up to 9" in dia.), $129.95, 395 gm13.9 oz0.87 lb, Liquid Fuel, Yes, 4+ People
MSR SuperFly with Auto Start, , $69.95, 144 gm5.1 oz0.32 lb, Isobutane Canister, Yes, 1-2 People
MSR SuperFly, , $59.95, 131 gm4.6 oz0.29 lb, Isobutane Canister, Yes, 1-2 People
MSR WhisperLite International, burns white gas | kerosene | or unleaded auto fuel, $99.95, 309 gm10.9 oz0.68 lb, Liquid Fuel, Yes, 4+ People
MSR WhisperLite Universal, Burns liquid fuel OR canister fuel, $139.95, 388 gm13.7 oz0.86 lb, Liquid Fuel, Yes, 4+ People
MSR Pocketrocket, , $39.95, 85 gm3.0 oz0.19 lb, Isobutane Canister, Yes, 1-2 People
MSR Microrocket, , $59.95, 73 gm2.6 oz0.16 lb, Isobutane Canister, Yes, 1-2 People
MSR XGK-EX, Works in extreme conditions, $149.95, 374 gm13.2 oz0.82 lb, Liquid Fuel, Yes, 4+ People
MSR WhisperLite, , $79.95, 305 gm10.8 oz0.67 lb, Liquid Fuel, Yes, 4+ People
MSR Reactor, System includes 1.7 li pot, $159.95, 496 gm17.5 oz1.09 lb, Isobutane Canister, Yes, 1-2 People
Optimus Nova, Burns Optimus Arctic Fuel | white gas | kerosene | diesel and jet fuel., $149.95, 435 gm15.3 oz0.96 lb, Liquid Fuel, Yes, 4+ People
Optimus Crux, , $49.95, 83 gm2.9 oz0.18 lb, Isobutane Canister, Yes, 1-2 People
Optimus Crux Lite, , $39.95, 72 gm2.5 oz0.16 lb, Isobutane Canister, Yes, 1-2 People
Primus OmniLite Ti Stove, Burns butane | gasoline | diesel | kerosene | and aviation fuel., $218.00, 340 gm12.0 oz0.75 lb, Liquid Fuel, Yes, 1-2 People
Primus OmniFuel, Burns butane | gasoline | diesel | kerosene | and aviation fuel., $182.00, 340 gm12.0 oz0.75 lb, Liquid Fuel, Yes, 4+ People
Primus ClassicTrail, , $31.00, 227 gm8.0 oz0.50 lb, Isobutane Canister, Yes, 1-2 People
Primus EtaPackLite, Includes 1.2 li. pot | graded bowl, $129.00, 644 gm22.7 oz1.42 lb, Isobutane Canister, Yes, 4+ People
Primus EtaPower Easy Fuel Stove, Includes 2.1 li. pot | frying pan | bowl | case., $110.00, 799 gm28.2 oz1.76 lb, Isobutane Canister, Yes, 4+ People
Snow Peak GigaPower - Manual, manual ignition, $39.95, 92 gm3.3 oz0.20 lb, Isobutane Canister, Yes, 1-2 People
Snow Peak GigaPower Auto, Automatic ignition, $49.95, 106 gm3.8 oz0.23 lb, Isobutane Canister, Yes, 1-2 People
Snow Peak LiteMax Titanium, , $59.95, 54 gm1.9 oz0.12 lb, Isobutane Canister, Yes, 1-2 People
Snow Peak White Gas Stove Regular, Includes fuel bottle | cloth case., $149.95, 354 gm12.5 oz0.78 lb, Liquid Fuel, Yes, 4+ People
Snow Peak Starter Kit, Includes stove | 0.7 li. titanium pot | titanium spork., $89.95, 259 gm9.2 oz0.57 lb, Isobutane Canister, Yes, 1-2 People
Snow Peak Trekker Kit, Includes stove | 1.4 li. titanium pot | stainless steel windscreen., $99.95, 373 gm13.2 oz0.82 lb, Isobutane Canister, Yes, 1-2 People
SOTO Micro Regulator, , $69.95, 74 gm2.6 oz0.16 lb, Isobutane Canister, Yes, 1-2 People
SOTO Muka, Includes hose | pump | maintenance tool | carrying case., $148.00, 326 gm11.5 oz0.72 lb, Liquid Fuel, Yes, 4+ People
SOTO Compact Foldable Stove, , $69.95, 142 gm5.0 oz0.31 lb, Isobutane Canister, Yes, 1-2 People
