CamelBak All Clear, $99.00, 482 gm17.0 oz1.06 lb, Bacteria | Protozoa | Viruses, UV Light, 0.75 li. per minute
Katadyn Pocket, $369.95, 567 gm20.0 oz1.25 lb, Bacteria | Protozoa, Filter (pump), 1 li. per minute
Katadyn Combi, $219.95, 595 gm21.0 oz1.31 lb, Bacteria | Protozoa, Filter (pump), 1 li. per minute
Katadyn Vario, $94.95, 425 gm15.0 oz0.94 lb, Bacteria | Protozoa, Filter (pump), 2 li. per minute
Katadyn Hiker Pro Microfilter, $84.95, 312 gm11.0 oz0.69 lb, Bacteria | Protozoa, Filter (pump), 1 li. per minute
Katadyn Base Camp, $79.95, 312 gm11.0 oz0.69 lb, Bacteria | Protozoa, Filter (gravity fed), .5 li. per minute
Katadyn Hiker Microfilter, $74.95, 312 gm11.0 oz0.69 lb, Bacteria | Protozoa, Filter (pump), 1 li. per minute
Katadyn Mini, $109.95, 227 gm8.0 oz0.50 lb, Bacteria | Protozoa, Filter (pump), .5 li. per minute
Katadyn MyBottle Purifier, $59.95, 227 gm8.0 oz0.50 lb, Bacteria | Protozoa | Viruses, Filter (bottle), .2 li. per minute
MSR MiniWorks EX microfilter, $89.95, 454 gm16.0 oz1.00 lb, Bacteria | Protozoa, Filter (pump), 1 li. per minute
MSR HyperFlow microfilter, $99.95, 210 gm7.4 oz0.46 lb, Bacteria | Protozoa, Filter (pump), 3 li. per minute
MSR AutoFlow Microfilter, $99.95, 391 gm13.8 oz0.86 lb, Bacteria | Protozoa, Filter (gravity fed), 1.75 li. per minute
MSR SweetWater microfilter, $89.95, 312 gm11.0 oz0.69 lb, Bacteria | Protozoa, Filter (pump), 1 li. per minute
MSR SweetWater Purifier System, $99.95, 397 gm14.0 oz0.88 lb, Bacteria | Protozoa | Viruses, Filter (pump), 1 li. per minute
Platypus GravityWorks, $109.95, 305 gm10.8 oz0.67 lb, Bacteria | Protozoa, Filter (gravity fed), 1.75 li. per minute
Sawyer Squeeze Filter, $59.99, 85 gm3.0 oz0.19 lb, Bacteria | Protozoa, Filter (bottle), 1.7 li. per minute
Sawyer Complete 2 Liter Water Filtration System, $131.99, 340 gm12.0 oz0.75 lb, Bacteria | Protozoa, Filter (gravity fed), 1.33 li. per minute
Sawyer Personal Water Bottle with Filter, $59.99, 156 gm5.5 oz0.34 lb, Bacteria | Protozoa, Filter (bottle), 1.7 li. per minute
Sawyer 3 Way Inline Water Filter, $59.95, 51 gm1.8 oz0.11 lb, Bacteria | Protozoa, Filter (gravity fed), 1.7 li. per minute
Sawyer Complete 4 Liter Water Filtration System, $164.99, 510 gm18.0 oz1.13 lb, Bacteria | Protozoa, Filter (gravity fed), 1.33 li. per minute
Sawyer 2 Liter Water Filtration System, $98.99, 340 gm12.0 oz0.75 lb, Bacteria | Protozoa, Filter (gravity fed), 1.33 li. per minute
Sawyer 4 Liter Water Filtration System, $139.14, 340 gm12.0 oz0.75 lb, Bacteria | Protozoa, Filter (gravity fed), 1.33 li. per minute
Sawyer 4 Liter Complete Water Purification System , $236.49, 567 gm20.0 oz1.25 lb, Bacteria | Protozoa | Viruses, Filter (gravity fed), .26 li. per minute
Steripen Sidewinder, $99.95, 471 gm16.6 oz1.04 lb, Bacteria | Protozoa | Viruses, UV Light, .66 li. per minute
Steripen Freedom, $119.95, 74 gm2.6 oz0.16 lb, Bacteria | Protozoa | Viruses, UV Light, .5 li. per minute
Steripen Journey LCD, $99.95, 128 gm4.5 oz0.28 lb, Bacteria | Protozoa | Viruses, UV Light, .5 li. per minute
Steripen Classic, $59.95, 162 gm5.7 oz0.36 lb, Bacteria | Protozoa | Viruses, UV Light, .5 li. per minute
Steripen Classic with Pre-Filter, $69.95, 181 gm6.4 oz0.40 lb, Bacteria | Protozoa | Viruses, UV Light, .5 li. per minute
Steripen Adventurer Opti, $89.95, 103 gm3.6 oz0.23 lb, Bacteria | Protozoa | Viruses, UV Light, .5 li. per minute
Steripen Traveler, $49.95, 162 gm5.7 oz0.36 lb, Bacteria | Protozoa | Viruses, UV Light, .5 li. per minute
