Osprey Kyte 36 (XS/S), , $149.00, 1276 gm 45.0 oz 2.81 lb, 2075 cu. in.34 liters, ~30-40 lbs
Osprey Kyte 36 (S/M), , $149.00, 1361 gm 48.0 oz 3.00 lb, 2197 cu. in.36 liters, ~30-40 lbs
Osprey Sirrus 36 (S), , $139.00, 1304 gm 46.0 oz 2.88 lb, 2075 cu. in.34 liters, ~20-35 lbs
Osprey Sirrus 36 (M), , $139.00, 1361 gm 48.0 oz 3.00 lb, 2197 cu. in.36 liters, ~20-35 lbs
Osprey Sirrus 36 (L), , $139.00, 1417 gm 50.0 oz 3.13 lb, 2319 cu. in.38 liters, ~20-35 lbs
Osprey Sirrus 24 (S), , $99.00, 1049 gm 37.0 oz 2.31 lb, 1343 cu. in.22 liters, ~15-25 lbs
Osprey Sirrus 24 (M), , $99.00, 1106 gm 39.0 oz 2.44 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Sirrus 24 (L), , $99.00, 1162 gm 41.0 oz 2.56 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Mira 34 (XS/S), , $159.00, 964 gm 34.0 oz 2.13 lb, 1953 cu. in.32 liters, ~20-30 lbs
Osprey Mira 34 (S/M), , $159.00, 1049 gm 37.0 oz 2.31 lb, 2075 cu. in.34 liters, ~20-30 lbs
Osprey Mira 26 (XS/S), , $149.00, 907 gm 32.0 oz 2.00 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Mira 26 (S/M), , $149.00, 964 gm 34.0 oz 2.13 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Mira 18, , $149.00, 907 gm 32.0 oz 2.00 lb, 1098 cu. in.18 liters, ~15-25 lbs
Osprey Raven 14, , $129.00, 709 gm 25.0 oz 1.56 lb, 854 cu. in.14 liters, ~1-1 lbs
Osprey Raven 10, , $119.00, 595 gm 21.0 oz 1.31 lb, 610 cu. in.10 liters, ~1-1 lbs
Osprey Raven 6, , $109.00, 567 gm 20.0 oz 1.25 lb, 366 cu. in.6 liters, ~1-1 lbs
Osprey Verve 13, Includes 3L Hydration Reservoir, $109.00, 539 gm 19.0 oz 1.19 lb, 793 cu. in.13 liters, ~1-1 lbs
Osprey Verve 9, Includes 3L Hydration Reservoir, $99.00, 482 gm 17.0 oz 1.06 lb, 549 cu. in.9 liters, ~1-1 lbs
Osprey Verve 5, Includes 2L Hydration Reservoir, $89.00, 425 gm 15.0 oz 0.94 lb, 305 cu. in.5 liters, ~1-1 lbs
Alps Mountaineering Synergy, , $119.99, 1134 gm 40.0 oz 2.50 lb, 2100 cu. in.34 liters, ~1-1 lbs
Alps Mountaineering Synergy LTE, Smaller Size Fits Smaller Torsos, $119.99, 1304 gm 46.0 oz 2.88 lb, 2400 cu. in.39 liters, ~1-1 lbs
Arcteryx Pyxis 12, , $99.00, 425 gm 15.0 oz 0.94 lb, 732 cu. in.12 liters, ~1-1 lbs
Arcteryx Pyxis 18, , $109.00, 539 gm 19.0 oz 1.19 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Sebring 18, , $119.00, 709 gm 25.0 oz 1.56 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Sebring 25, , $139.00, 737 gm 26.0 oz 1.63 lb, 1525 cu. in.25 liters, ~1-1 lbs
Arcteryx Kea 30 (Short/Reg), , $199.00, 1304 gm 46.0 oz 2.88 lb, 1836 cu. in.30 liters, ~1-1 lbs
Arcteryx Kea 30 (Reg/Tall), , $199.00, 1361 gm 48.0 oz 3.00 lb, 1952 cu. in.32 liters, ~1-1 lbs
Arcteryx Pyxis 12, , $99.00, 425 gm 15.0 oz 0.94 lb, 732 cu. in.12 liters, ~1-1 lbs
Arcteryx Pyxis 18, , $109.00, 539 gm 19.0 oz 1.19 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Altra 33 (Short), , $249.00, 1049 gm 37.0 oz 2.31 lb, 2014 cu. in.33 liters, ~1-1 lbs
Arcteryx Altra 33 (Regular), , $249.00, 1106 gm 39.0 oz 2.44 lb, 2136 cu. in.35 liters, ~1-1 lbs
Arcteryx Altra 33 (Tall), , $249.00, 1162 gm 41.0 oz 2.56 lb, 2258 cu. in.37 liters, ~1-1 lbs
Arcteryx Kea 37 (Regular), , $239.00, 1503 gm 53.0 oz 3.31 lb, 2441 cu. in.40 liters, ~1-1 lbs
Arcteryx Kea 37 (Short), , $239.00, 1446 gm 51.0 oz 3.19 lb, 2319 cu. in.38 liters, ~1-1 lbs
Arcteryx Kea 37 (Tall), , $239.00, 1559 gm 55.0 oz 3.44 lb, 2563 cu. in.42 liters, ~1-1 lbs
Arcteryx Aerios 7, , $99.00, 397 gm 14.0 oz 0.88 lb, 427 cu. in.7 liters, ~1-1 lbs
