Osprey Xena 85 (XS), , $349.00, 2211 gm 78.0 oz 4.88 lb, 4699 cu. in.77 liters, ~50-70 lbs, Internal Frame
Osprey Xena 85 (S), , $349.00, 2353 gm 83.0 oz 5.19 lb, 4943 cu. in.81 liters, ~50-70 lbs, Internal Frame
Osprey Xena 85 (M), , $349.00, 2495 gm 88.0 oz 5.50 lb, 5187 cu. in.85 liters, ~50-70 lbs, Internal Frame
Osprey Xena 70 (XS), , $319.00, 2211 gm 78.0 oz 4.88 lb, 3783 cu. in.62 liters, ~50-70 lbs, Internal Frame
Osprey Xena 70 (S), , $319.00, 2296 gm 81.0 oz 5.06 lb, 4028 cu. in.66 liters, ~50-70 lbs, Internal Frame
Osprey Xena 70 (M), , $319.00, 2410 gm 85.0 oz 5.31 lb, 4272 cu. in.70 liters, ~50-70 lbs, Internal Frame
Osprey Ariel 75 (XS), , $299.00, 2126 gm 75.0 oz 4.69 lb, 4211 cu. in.69 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 75 (S), , $299.00, 2211 gm 78.0 oz 4.88 lb, 4394 cu. in.72 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 75 (M), , $299.00, 2240 gm 79.0 oz 4.94 lb, 4577 cu. in.75 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 65 (XS), , $279.00, 2013 gm 71.0 oz 4.44 lb, 3600 cu. in.59 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 65 (S), , $279.00, 2155 gm 76.0 oz 4.75 lb, 3783 cu. in.62 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 65 (M), , $279.00, 2240 gm 79.0 oz 4.94 lb, 3967 cu. in.65 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 65 (L), , $279.00, 2325 gm 82.0 oz 5.13 lb, 4150 cu. in.68 liters, ~50-65 lbs, Internal Frame
Osprey Ariel 55 (XS), , $249.00, 2098 gm 74.0 oz 4.63 lb, 2990 cu. in.49 liters, ~40-55 lbs, Internal Frame
Osprey Ariel 55 (S), , $249.00, 2155 gm 76.0 oz 4.75 lb, 3173 cu. in.52 liters, ~40-55 lbs, Internal Frame
Osprey Ariel 55 (M), , $249.00, 2240 gm 79.0 oz 4.94 lb, 3356 cu. in.55 liters, ~40-55 lbs, Internal Frame
Osprey Viva 65, , $199.00, 1729 gm 61.0 oz 3.81 lb, 3967 cu. in.65 liters, ~50-65 lbs, Internal Frame
Osprey Viva 50, , $179.00, 1616 gm 57.0 oz 3.56 lb, 3051 cu. in.50 liters, ~50-65 lbs, Internal Frame
Osprey Kyte 46 (XS/S), , $169.00, 1332 gm 47.0 oz 2.94 lb, 2685 cu. in.44 liters, ~30-40 lbs, Internal Frame
Osprey Kyte 46 (S/M), , $169.00, 1361 gm 48.0 oz 3.00 lb, 2807 cu. in.46 liters, ~30-40 lbs, Internal Frame
Osprey Aura 65 (S), , $239.00, 1531 gm 54.0 oz 3.38 lb, 3783 cu. in.62 liters, ~40-55 lbs, Internal Frame
Osprey Aura 65 (M), , $239.00, 1616 gm 57.0 oz 3.56 lb, 3967 cu. in.65 liters, ~40-55 lbs, Internal Frame
Osprey Aura 65 (L), , $239.00, 1644 gm 58.0 oz 3.63 lb, 4150 cu. in.68 liters, ~40-55 lbs, Internal Frame
Osprey Aura 50 (S), , $199.00, 1389 gm 49.0 oz 3.06 lb, 2868 cu. in.47 liters, ~35-50 lbs, Internal Frame
Osprey Aura 50 (M), , $199.00, 1417 gm 50.0 oz 3.13 lb, 3051 cu. in.50 liters, ~35-50 lbs, Internal Frame
Osprey Aura 50 (L), , $199.00, 1474 gm 52.0 oz 3.25 lb, 3234 cu. in.53 liters, ~35-50 lbs, Internal Frame
Arcteryx Kea 45 (Regular), , $259.00, 1701 gm 60.0 oz 3.75 lb, 2929 cu. in.48 liters, ~1-1 lbs, Internal Frame
