Big Agnes Women's Juniper SL (Short), $279.95, 964 gm 34.0 oz 2.13 lb, 26 F-3.3 C, 700 Down, 54", 8.5" x 8", Short: Fits  up to 5'6"
Big Agnes Women's Juniper SL (Regular), $299.95, 1106 gm 39.0 oz 2.44 lb, 26 F-3.3 C, 700 Down, 56", 8.5" x 8.5", Regular: Fits  up to 5'10"
Big Agnes Women's Lithia Spring SL (Short), $349.95, 1162 gm 41.0 oz 2.56 lb, 15 F-9.4 C, 700 Down, 54", 9" x 8.5", Short: Fits up to 5'6"
Big Agnes Women's Lithia Spring SL (Regular), $379.95, 1417 gm 50.0 oz 3.13 lb, 15 F-9.4 C, 700 Down, 56", 9" x 9", Regular: Fits up to 5'10"
Big Agnes Women's Betty SL (Short), $189.95, 1361 gm 48.0 oz 3.00 lb, 27 F-2.7 C, Synth, 54", 11" x 9", Short: Fits up to 5'6"
Big Agnes Women's Betty SL (Regular), $199.95, 1559 gm 55.0 oz 3.44 lb, 27 F-2.7 C, Synth, 56", 12" x 9", Regular: Fits up to 5'10"
Big Agnes Women's Gem Lake SL (Short), $209.95, 1616 gm 57.0 oz 3.56 lb, 17 F-8.3 C, Synth, 54", 12" x 9.5", Short: Fits up to 5'6"
Big Agnes Women's Gem Lake SL (Regular), $229.95, 1843 gm 65.0 oz 4.06 lb, 17 F-8.3 C, Synth, 56", 13" x 10", Regular: Fits up to 5'10"
Big Agnes Slavonia (Short), $149.95, 1276 gm 45.0 oz 2.81 lb, 30 F-1.1 C, Synth, 68", 9" x 8", Short: Fits up to 5'6"
Big Agnes Slavonia (Regular), $159.95, 1417 gm 50.0 oz 3.13 lb, 30 F-1.1 C, Synth, 70", 9" x 8.5", Regular: Fits up to 5'10"
Big Agnes Lulu (Short), $159.95, 1417 gm 50.0 oz 3.13 lb, 15 F-9.4 C, Synth, 68", 9" x 8.5", Short: Fits up to 5'6"
Big Agnes Lulu (Regular), $169.95, 1531 gm 54.0 oz 3.38 lb, 15 F-9.4 C, Synth, 70", 9" x 9", Regular: Fits up to 5'10"
Big Agnes Pearl (Short), $199.95, 1134 gm 40.0 oz 2.50 lb, 30 F-1.1 C, 650 Down, 68", 8" x 8.5", Short: Fits up to 5'6"
Big Agnes Pearl (Regular), $209.95, 1276 gm 45.0 oz 2.81 lb, 30 F-1.1 C, 650 Down, 70", 9" x 8", Regular: Fits up to 5'10"
Big Agnes Roxy Ann (Short), $229.95, 1191 gm 42.0 oz 2.63 lb, 15 F-9.4 C, 650 Down, 68", 8" x 9", Short: Fits up to 5'6"
Big Agnes Roxy Ann (Regular), $239.95, 1332 gm 47.0 oz 2.94 lb, 15 F-9.4 C, 650 Down, 70", 9.5" x 8", Regular: Fits up to 5'10"
Big Agnes Fria (Short), $239.95, 1191 gm 42.0 oz 2.63 lb, 15 F-9.4 C, 600 Down, 65.5", 8" x 6", Short: Fits up to 5'6"
Big Agnes Fria (Regular), $259.95, 1361 gm 48.0 oz 3.00 lb, 15 F-9.4 C, 600 Down, 67.5", 8" x 7", Regular: Fits up to 5'10"
Big Agnes Amber SL (Short), $329.95, 794 gm 28.0 oz 1.75 lb, 30 F-1.1 C, 800 Down, 65.5", 7" x 6", Short: Fits up to 5'6"
Big Agnes Amber SL (Regular), $349.95, 907 gm 32.0 oz 2.00 lb, 30 F-1.1 C, 800 Down, 67.5", 7" x 6.5", Regular: Fits up to 5'10"
Big Agnes Peggy SL (Short), $359.95, 907 gm 32.0 oz 2.00 lb, 15 F-9.4 C, 800 Down, 62.5", 7" x 7", Short: Fits up to 5'6"
Big Agnes Peggy SL (Regular), $379.95, 1021 gm 36.0 oz 2.25 lb, 15 F-9.4 C, 800 Down, 67.5", 8" x 7", Regular: Fits up to 5'10"
Eureka Casper 15° - Women's, $134.90, 1332 gm 47.0 oz 2.94 lb, 15 F-9.4 C, Synth, 62", 17.5" x 8.5", Regular: Fits up to 5'8"
Eureka Silver City 30° - Women's, $114.90, 1021 gm 36.0 oz 2.25 lb, 15 F-9.4 C, Synth, 62", 14" x 7.5", Regular: Fits up to 5'8"
GoLite Women's Adventure 20 (Regular), $199.99, 1134 gm 40.0 oz 2.50 lb, 20 F-6 C, 650 Down, 56", ?" x ?", Regular: Fits up to 5'6"
GoLite Women's Adventure 20 (Long), $199.99, 1191 gm 42.0 oz 2.63 lb, 20 F-6 C, 650 Down, 58", ?" x ?", Long: Fits up to 6'0"
GoLite Women's Z30 (Regular), $299.99, 624 gm 22.0 oz 1.38 lb, 30 F-1 C, 850 Down, 54", ?" x ?", Regular: Fits up to 5'6"
GoLite Women's Z30 (Long), $299.99, 652 gm 23.0 oz 1.44 lb, 30 F-1 C, 850 Down, 56", ?" x ?", Long: Fits up to 6'
Kelty Women's Ignite DriDown 20 (Regular), $199.95, 1219 gm 43.0 oz 2.69 lb, 20 F-7 C, 600 Down, 58", 15" x 7", Regular: Fits up to 5'8"
Kelty Women's Cosmic Down 20 (Regular), $149.99, 1162 gm 41.0 oz 2.56 lb, 20 F-7 C, 550 Down, 58", 14" x 8", Regular: Fits up to 5'8"
Kelty Women's Ignite 20 (Regular), $139.99, 1361 gm 48.0 oz 3.00 lb, 20 F-7 C, Synth, 58", 15" x 10", Regular: Fits up to 5'8"
Kelty Women's Cosmic 20 (Regular), $99.95, 1729 gm 61.0 oz 3.81 lb, 20 F-7 C, Synth, 58", 18" x 10", Regular: Fits up to 5'6"
Kelty Women's Mistral 20 (Regular), $74.95, 1559 gm 55.0 oz 3.44 lb, 20 F-7 C, Synth, 59", 18" x 11", Regular: Fits up to 5'6"
Kelty Women's Cosmic 35 (Regular), $89.95, 1077 gm 38.0 oz 2.38 lb, 35 F2 C, Synth, 58", 14" x 8", Regular: Fits up to 5'6"
Marmot Women's Xenon (Regular), $399.00, 1162 gm 41.0 oz 2.56 lb, 15 F-9 C, 850 Down, 58", 16" x 7.5", Regular: Fits up to 5'6"
Marmot Women's Teton (Regular), $269.00, 1590 gm 56.1 oz 3.51 lb, 15 F-9 C, 650 Down, 58", 18" x 8.5", Regular: Fits up to 5'6"
Marmot Women's Teton (Long), $289.00, 1701 gm 60.0 oz 3.75 lb, 15 F-9 C, 650 Down, 58", 18" x 8.5", Long: Fits up to 6'
Marmot Women's Angel Fire (Regular), $229.00, 1350 gm 47.6 oz 2.98 lb, 25 F-4 C, 650 Down, 58", 16" x 7.5", Regular: Fits up to 5'6"
Marmot Women's Angel Fire (Long), $249.00, 1446 gm 51.0 oz 3.19 lb, 25 F-4 C, 650 Down, 60", 16" x 7.5", Long: Fits up to 6'
Marmot Women's Trestles 15 (Regular), $109.00, 1956 gm 69.0 oz 4.31 lb, 15 F-9.44 C, Synth, 58", 18" x 8.5", Regular: Fits up to 5'6"
Marmot Women's Trestles 15 (Long), $119.00, 2041 gm 72.0 oz 4.50 lb, 15 F-9.44 C, Synth, 60", 18" x 8.5", Long: Fits up to 6'
Marmot Women's Trestles 30 (Regular), $99.00, 1361 gm 48.0 oz 3.00 lb, 30 F-1 C, Synth, 58", 19" x 9.5", Regular: Fits up to 5'6"
Marmot Women's Trestles 30 (Long), $109.00, 1701 gm 60.0 oz 3.75 lb, 30 F-1 C, Synth, 60", 19" x 9.5", Long: Fits up to 6'
Mountain Hardwear Laminina 20 (Regular), $200.00, 1559 gm 55.0 oz 3.44 lb, 20 F-7 C, Synth, 60", 18" x 8.5", Regular: Fits up to 5'8"
